Name,port,ip
DATA1,4000,192.168.18.10
GOWGATE,4038,192.168.18.167
QA-SYDDBS003,4028,192.168.18.133
QA-SYDDBS005,4017,192.168.18.138
SYDAPP002,4041,192.168.18.169
SYDAPP003,4045,192.168.18.177
SYDAPP004,4048,192.168.18.181
SYDBT001,4040,192.168.18.166
SYDCTX01,4043,192.168.18.171
SYDCTX02,4044,192.168.18.172
SYDDBS003,4033,192.168.18.160
SYDDBS004,4034,192.168.18.161
SYDDC003,4016,192.168.18.74
SYDDMZWEB001,,203.174.163.154
SYDEX001,4047,192.168.18.174
SYDIIS001,4036,192.168.18.162
SYDMS001,4013,
SYDPSNAPP001,4037,192.168.18.164
SYDPSNWEB001,,192.168.18.165
SYDSP001,4021,192.168.18.55
SYDTS001,4024,203.174.163.145
SYDTS002,4051,192.168.18.180
SYDWEB002,4042,192.168.18.170
SYDWEB003,4046,192.168.18.178
TEWS1,4007,192.168.18.150
TEWS2,4008,192.168.18.152
TEWS3,4009,192.168.18.154
TEWS4,4010,192.168.18.155
TEWS5,4011,192.168.18.156
TEWS6,4031,192.168.18.158
TEWS7,4032,192.168.18.159
TEWS8,4039,192.168.18.168
TEWS9,4052,192.168.18.175
WSIB,4035,192.168.18.163
SYDWSUS001,4050,192.168.18.127
