"VM","File","SizeInGB","Thin"
"SYDAPP002","[datastore2] SYDAPP002/SYDAPP002.vmdk","40","True"
"SYDAPP002","[datastore2] SYDAPP002/SYDAPP002_1.vmdk","40","True"
"SYDAPP003","[datastore2] SYDAPP003/SYDAPP003.vmdk","40","True"
"SYDAPP003","[datastore2] SYDAPP003/SYDAPP003_1.vmdk","40","True"
"SYDDBS004","[datastore2] SYDDBS004/SYDDBS004.vmdk","100","True"
"SYDDBS004","[datastore2] SYDDBS004/SYDDBS004_1.vmdk","200","True"
"SYDDBS004","[datastore2] SYDDBS004/SYDDBS004_2.vmdk","200","True"
"SYDDBS004","[datastore2] SYDDBS004/SYDDBS004_3.vmdk","100","True"
"SYDDMZWEB001","[datastore1] SYDDMZWEB001/SYDDMZWEB001-000001.vmdk","70","True"
"SYDDMZWEB001","[datastore1] SYDDMZWEB001/SYDDMZWEB001_1-000001.vmdk","70","True"
"SYDIIS001","[datastore2] SYDIIS001/SYDIIS001-000001.vmdk","40","True"
"SYDIIS001","[datastore2] SYDIIS001/SYDIIS001_1-000001.vmdk","50","True"
"sydpsnweb001","[datastore1] sydpsnweb001/sydpsnweb001.vmdk","70","True"
"sydpsnweb001","[datastore1] sydpsnweb001/sydpsnweb001_1.vmdk","300","True"
"SYDSP001","[datastore1] SYDSP001/SYDSP001.vmdk","150","True"
"SYDSP001","[datastore1] SYDSP001/SYDSP001_1.vmdk","100","True"
"SYDSP001","[datastore1] SYDSP001/SYDSP001_2.vmdk","100","True"
