"VMHost","DS","Path","File","SizeGB","ModDate"
"10.8.0.8","DATA1","[DATA1] tews6","WinXP_template.vmdk","30","11/25/2013 7:24:12 AM"
"10.8.0.8","DATA1","[DATA1] tews7","WinXP_template.vmdk","30","11/22/2013 9:41:52 AM"
"10.8.0.8","DATA2","[DATA2] aswvnsup01","aswvnsup01.vmdk","8.431640625","8/9/2011 7:32:36 AM"
"10.8.0.8","DATA2","[DATA2] QA-rts","QA-rts-000001-delta.vmdk","9.918212890625E-05","12/4/2013 11:04:16 AM"
"10.8.0.8","DATA2","[DATA2] Win2K3_template","Win2K3_template.vmdk","50","12/3/2011 12:22:45 AM"
"10.8.0.8","DATA2","[DATA2] WinXP_template","WinXP_template.vmdk","30","12/3/2011 12:22:46 AM"
"10.8.0.8","DATA2","[DATA2] Win2K8r2_template","Win2K8r2_template.vmdk","50","12/3/2011 12:24:58 AM"
"10.8.0.8","DATA3","[DATA3] TEWS9","SYDLAP_IMAGE.emia.com.au-s001.vmdk","27.3359375","1/29/2015 4:25:33 AM"
"10.8.0.8","DATA3","[DATA3] TEWS9","SYDLAP_IMAGE.emia.com.au.vmdk","27.3359375","1/29/2015 4:35:21 AM"
"10.8.0.8","DATA4","[DATA4] TEWS8","TEWS8.vmdk","30","1/13/2014 3:55:12 AM"
"10.8.0.8","DATA4","[DATA4] SYDDMZWEB001","DMZ01-000002.vmdk","0.0703125","7/13/2015 8:45:19 AM"
"10.8.0.8","DATA4","[DATA4] SYDDMZWEB001","DMZ01_1-000002.vmdk","0.0234375","7/13/2015 8:45:19 AM"
"10.8.0.8","DATA4","[DATA4] Win7 laptop template - Jan 2015","TEWS9.vmdk","42.125","2/2/2015 6:47:47 AM"
